# Capacitor 6, phase-frequency characteristics
frequency (kHz), phase difference (us)
18.0, -6.7
18.2, -5.8
18.4, -4.6
18.6, -3
18.8, -2
19.0, -0.2
19.2, 2.2
19.4, 3.9
19.6, 5.2
19.8, 6.2
20.0, 7
20.2, 7.8
20.4, 8.2
20.6, 8.6
