# Capacitor 1, phase-frequency characteristics
frequency (kHz), phase difference (us)
40.0, -5.8
42.0, -5.4
44.0, -5
46.0, -4.6
48.0, -4.2
49.0, -3.9
49.5, -3.6
50.0, -3.3
50.5, -2.85
51.0, -2.1
51.2, -1.6
51.4, -1.2
51.6, -0.5
51.8,  0
52.0,  0.7
52.5,  1.9
53.0,  2.7
54.0,  3.5
55.0,  3.9
57.0,  4
58.0,  4
60.0,  4
