# Capacitor 1, phase-frequency characteristics
frequency (kHz), phase difference (us)
19, -12
25, -9.4
35, -6.4
45, -4.8
55, 3.8
65, 3.8
75, 3.4
85, 3
95, 2.6
105, 2.45
115, 2.25
